id;title;content;date
1;fairy assay;../fake-data/blob/hipster.txt;2024-06-23T01:51:57
2;yellowish;../fake-data/blob/hipster.txt;2024-06-23T19:14:23
3;unfit;../fake-data/blob/hipster.txt;2024-06-23T00:19:36
4;fight foolishly;../fake-data/blob/hipster.txt;2024-06-23T01:51:08
5;glum;../fake-data/blob/hipster.txt;2024-06-23T01:46:00
6;wrong misinform;../fake-data/blob/hipster.txt;2024-06-23T07:46:03
7;knowledgeably picnic;../fake-data/blob/hipster.txt;2024-06-23T03:28:59
8;brr whisk accurate;../fake-data/blob/hipster.txt;2024-06-23T00:27:55
9;boar;../fake-data/blob/hipster.txt;2024-06-23T12:12:16
10;balloon joshingly;../fake-data/blob/hipster.txt;2024-06-22T22:45:05
